,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11_BN,VGG16_BN,VGG19_BN
Fold,1.0,4.0,2.0,8.0,4.0,7.0,4.0,6.0,9.0
Epoch,15.0,1.0,3.0,5.0,11.0,6.0,6.0,2.0,3.0
Train Loss,0.01031301333536964,0.0101543355020893,0.010240799869107085,0.00972102467672697,0.009905729120010523,0.009545464278743225,0.009900019987085335,0.00994359366749471,0.009858429595889546
Train Accuracy,0.04281345565749235,0.0779816513761468,0.0672782874617737,0.06564885496183206,0.08868501529051988,0.06880733944954129,0.0581039755351682,0.06269113149847094,0.06870229007633588
Train F1 Micro,0.4153498871331829,0.4743898246820213,0.4435686134002149,0.502509200401472,0.4431401320616288,0.5112474437627813,0.48657832144070673,0.48549723756906077,0.4894772572980312
Train F1 Macro,0.058278001459819644,0.0715207698524404,0.059721988140801006,0.10097276850183566,0.07622387727169201,0.10110045142529614,0.06495460435193058,0.06508883749124572,0.07792311903667333
Train Precision Micro,0.5916398713826366,0.5979202772963604,0.6015549076773566,0.6076051779935275,0.6119554204660588,0.6218905472636815,0.5927152317880795,0.6081314878892734,0.6084388185654008
Train Precision Macro,0.05426139517048609,0.07312842401347529,0.05295023630803448,0.305682632922438,0.20086757141971867,0.20644307451835042,0.05337681120147255,0.05460532072433093,0.20416170181658685
Train Recall Micro,0.32,0.39316239316239315,0.351305334846765,0.42840844266970907,0.34732604945370904,0.4340277777777778,0.41268011527377524,0.40402298850574714,0.4094264622373651
Train Recall Macro,0.06408798682322937,0.08063957461547823,0.06983240223463687,0.10203076650283373,0.07653792943991554,0.10401483105536084,0.08296431362333942,0.08060777749163019,0.08746244068034002
Val Loss,0.0012930684929208873,0.0010167800986619238,0.001035616519198621,0.0010242478555629474,0.0010354408617688669,0.0011817178749152686,0.0011074186355244508,0.0011671275269378495,0.0010537524826752926
Val Accuracy,0.0684931506849315,0.0547945205479452,0.0958904109589041,0.1111111111111111,0.1095890410958904,0.0547945205479452,0.0958904109589041,0.1643835616438356,0.1527777777777778
Val F1 Micro,0.4891304347826087,0.5739644970414203,0.5792079207920792,0.606516290726817,0.5810055865921788,0.5509641873278237,0.5714285714285715,0.5915492957746479,0.5619335347432024
Val F1 Macro,0.06913512417505509,0.0723533186878286,0.09205515039038045,0.13406891535071297,0.07921401515151516,0.09220194087671246,0.07482517482517483,0.09823625079357706,0.0799612152553329
Val Precision Micro,0.6164383561643836,0.6643835616438356,0.5342465753424658,0.5902439024390244,0.6933333333333334,0.6944444444444444,0.7034482758620689,0.5753424657534246,0.6413793103448275
Val Precision Macro,0.05603985056039851,0.060398505603985055,0.07285180572851804,0.12816362381579774,0.08623910336239103,0.14719887955182073,0.06390099626400997,0.0784557907845579,0.10353535353535354
Val Recall Micro,0.40540540540540543,0.5052083333333334,0.6324324324324324,0.6237113402061856,0.5,0.45662100456621,0.4811320754716981,0.6086956521739131,0.5
Val Recall Macro,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.15808692432848473,0.09343434343434343,0.09945266342672002,0.09090909090909091,0.13636363636363635,0.09595959595959597
