,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11_BN,VGG16_BN,VGG19_BN
Fold,1.0,4.0,2.0,1.0,6.0,6.0,10.0,3.0,7.0
Epoch,6.0,1.0,13.0,4.0,4.0,1.0,1.0,10.0,2.0
Train Loss,0.011429485338426193,0.010173605942004648,0.010018580082030212,0.01081740860270011,0.009797634190509538,0.009880433220318948,0.009952806295030219,0.010083496673071074,0.01010616828765633
Train Accuracy,0.0,0.0871559633027523,0.09174311926605505,0.045871559633027525,0.07186544342507645,0.06422018348623854,0.0549618320610687,0.07339449541284404,0.06422018348623854
Train F1 Micro,0.0,0.47572476423332166,0.4733893557422969,0.4165733482642778,0.4986357435197817,0.46593716907871513,0.512687052700065,0.47865013774104676,0.4824051930304065
Train F1 Macro,0.0,0.06729470985699536,0.06391875196772129,0.05891383145130617,0.12056397796295996,0.08541201792632322,0.07184241395403611,0.06951472228370109,0.06523665237525576
Train Precision Micro,0.0,0.6146209386281588,0.6079136690647482,0.5993555316863588,0.6242527754056362,0.6088560885608856,0.6001523229246002,0.6107205623901582,0.6034188034188034
Train Precision Macro,0.0,0.07363935758431171,0.0657484700294788,0.05430892226242701,0.4154704117388587,0.21254386811212253,0.1453851492019431,0.09993032351826475,0.054560113799244234
Train Recall Micro,0.0,0.38803418803418804,0.3876146788990826,0.31922196796338675,0.4151050539466212,0.37735849056603776,0.44747302668938105,0.39354473386183464,0.40182128628343766
Train Recall Macro,0.0,0.07807780845043559,0.07696445935877838,0.06440234024597695,0.11188978761453909,0.08682165529484984,0.09290916638363712,0.08100212464589235,0.08110824510362616
Val Loss,0.0011862157299561218,0.001063385355751321,0.0011302076146887945,0.0011145493023333227,0.0009771267559374214,0.000989423308936569,0.0010034640561763653,0.001000781170767636,0.001036649598052118
Val Accuracy,0.1232876712328767,0.0547945205479452,0.1232876712328767,0.0821917808219178,0.136986301369863,0.0684931506849315,0.1111111111111111,0.1232876712328767,0.1232876712328767
Val F1 Micro,0.5527065527065527,0.5502958579881656,0.5734597156398106,0.5681159420289854,0.560693641618497,0.5878962536023054,0.5696969696969698,0.5619335347432025,0.5714285714285714
Val F1 Macro,0.0723533186878286,0.07004292395412902,0.09537992284351424,0.0729960899315738,0.09471798526676575,0.10063802055713077,0.0717405827637597,0.09906151554694399,0.072006216006216
Val Precision Micro,0.6643835616438356,0.636986301369863,0.5525114155251142,0.6712328767123288,0.60625,0.6845637583892618,0.6527777777777778,0.62,0.6575342465753424
Val Precision Macro,0.060398505603985055,0.05790784557907846,0.07534246575342465,0.06102117061021171,0.1226204351204351,0.09823232323232323,0.059343434343434344,0.10087173100871731,0.0597758405977584
Val Recall Micro,0.47317073170731705,0.484375,0.5960591133004927,0.49246231155778897,0.521505376344086,0.5151515151515151,0.5053763440860215,0.5138121546961326,0.5052631578947369
Val Recall Macro,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.10566865175822394,0.11178183301806312,0.09090909090909091,0.11363636363636363,0.09090909090909091
