,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11_BN,VGG16_BN,VGG19_BN
Fold,8.0,1.0,7.0,7.0,9.0,7.0,5.0,8.0,3.0
Epoch,1.0,4.0,1.0,14.0,5.0,3.0,2.0,6.0,1.0
Train Loss,0.009928586435449173,0.01177528607140217,0.009968130120384971,0.010227961114708955,0.009761372224992702,0.009678832397500291,0.010070159457408743,0.009951247063758776,0.010129823399377165
Train Accuracy,0.0732824427480916,0.016819571865443424,0.08103975535168195,0.06269113149847094,0.06870229007633588,0.09021406727828746,0.06269113149847094,0.08396946564885496,0.06574923547400612
Train F1 Micro,0.47071057192374355,0.12791878172588833,0.4623733719247467,0.48164977280671095,0.4578571428571428,0.47284345047923326,0.4991635998661759,0.46946022727272724,0.45931666079605504
Train F1 Macro,0.06333411325823482,0.022973322973322975,0.06142888046188388,0.09695767432091108,0.10673599454312056,0.10642860148197832,0.06952020606325049,0.06317544839037517,0.06186967589275985
Train Precision Micro,0.5982378854625551,0.6057692307692307,0.6039697542533081,0.6086572438162544,0.6145733461169702,0.6110091743119266,0.6084828711256117,0.6218250235183443,0.6020313942751616
Train Precision Macro,0.05341993407356003,0.05506993006993008,0.05340086760969675,0.1847080224739799,0.22252190794944357,0.2941461273504617,0.06809070067168631,0.05515556326625029,0.053407948737389944
Train Recall Micro,0.388,0.07150964812712826,0.3745603751465416,0.39849624060150374,0.3648264086511098,0.38563983786913725,0.4231423709585933,0.37706788362806615,0.3712984054669704
Train Recall Macro,0.0778848658504819,0.01454975537544345,0.07299077733860343,0.09424145180690807,0.09645424555296858,0.09867026554774219,0.08697699606790515,0.07448765107724645,0.07404069018799897
Val Loss,0.0010041652921141423,0.0010606227788505396,0.001291282444249485,0.0012457261305235767,0.000977282674965209,0.0010978919767775923,0.0010116280887936956,0.0010928545439259714,0.0009950871644682537
Val Accuracy,0.1388888888888889,0.0547945205479452,0.0547945205479452,0.1232876712328767,0.2361111111111111,0.0684931506849315,0.0958904109589041,0.08333333333333333,0.0136986301369863
Val F1 Micro,0.5865102639296188,0.5558912386706948,0.537467700258398,0.5869074492099322,0.6285714285714286,0.5660377358490567,0.5696969696969697,0.5545722713864306,0.5697329376854599
Val F1 Macro,0.07433511370519245,0.07021172722133717,0.07557516766020865,0.10666343329193037,0.10950936183041585,0.1104261501210654,0.07108908888664173,0.07457542457542457,0.07175787480063796
Val Precision Micro,0.6944444444444444,0.6301369863013698,0.7123287671232876,0.5777777777777777,0.6875,0.695364238410596,0.6438356164383562,0.6482758620689655,0.6575342465753424
Val Precision Macro,0.06313131313131314,0.05728518057285181,0.0647571606475716,0.0920679396706794,0.09904531417980202,0.18523260776781905,0.05853051058530511,0.10416666666666666,0.0597758405977584
Val Recall Micro,0.5076142131979695,0.4972972972972973,0.4315352697095436,0.5963302752293578,0.5789473684210527,0.4772727272727273,0.5108695652173914,0.4845360824742268,0.5026178010471204
Val Recall Macro,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.14049586776859505,0.12524404120253924,0.11142957622648146,0.09090909090909091,0.0925925925925926,0.09090909090909091
