,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11_BN,VGG16_BN,VGG19_BN
Fold,1.0,10.0,1.0,6.0,7.0,8.0,4.0,9.0,5.0
Epoch,15.0,2.0,12.0,6.0,11.0,26.0,1.0,11.0,2.0
Train Loss,0.010251668841671583,0.0099860872904241,0.009942862895692723,0.009897526204995965,0.009790285335446323,0.01029207968400302,0.010030422221351686,0.009829788272777647,0.01007289903691907
Train Accuracy,0.05504587155963303,0.06717557251908397,0.07492354740061162,0.06574923547400612,0.08868501529051988,0.035114503816793895,0.0764525993883792,0.05801526717557252,0.07186544342507645
Train F1 Micro,0.45097345132743366,0.48703956343792637,0.4502732240437159,0.49491525423728816,0.46940244780417567,0.40394088669950734,0.4719805081796032,0.5166994106090373,0.4696384696384696
Train F1 Macro,0.062047759872517254,0.06528137496524752,0.06014245434060617,0.1075535642329125,0.10892033167071564,0.13730407226673408,0.06956238910895668,0.08762806786955123,0.06296056133196398
Train Precision Micro,0.5881809787626963,0.6025316455696202,0.6005830903790087,0.6119027661357921,0.6233269598470363,0.6112385321100917,0.6075268817204301,0.6125776397515528,0.6037906137184116
Train Precision Macro,0.053610015243230974,0.054180796878477995,0.05293244370308591,0.27866365291040346,0.31267515882016855,0.3035678036352815,0.082532448724402,0.10682771173670291,0.053753495019711724
Train Recall Micro,0.3656716417910448,0.40870062965083,0.36013986013986016,0.41548093340922027,0.37644341801385683,0.30164119977362763,0.385885031303358,0.4467723669309173,0.3842619184376795
Train Recall Macro,0.07449521888395369,0.0821030821030821,0.0708092485549133,0.10548443130492467,0.09714807691191223,0.11093250867262205,0.079909622070564,0.09965636893333266,0.07623376623376622
Val Loss,0.0011090589110756184,0.0010265512225388497,0.0011754315935761925,0.001005134974418021,0.0011662291529418022,0.0010933592157154005,0.0010249311978092219,0.0010403838044511567,0.001041811794821465
Val Accuracy,0.0821917808219178,0.08333333333333333,0.1095890410958904,0.1643835616438356,0.0958904109589041,0.09722222222222222,0.1095890410958904,0.05555555555555555,0.0410958904109589
Val F1 Micro,0.5641025641025641,0.563953488372093,0.6133333333333334,0.5875370919881305,0.5841121495327104,0.5953002610966057,0.5578635014836796,0.5669291338582677,0.5511363636363636
Val F1 Macro,0.07346758266390413,0.07295313382269902,0.10355310639520322,0.10829775324190948,0.10003272702218548,0.1055883510428965,0.08061456671982987,0.1137016229712859,0.07242757242757243
Val Precision Micro,0.678082191780822,0.6736111111111112,0.6301369863013698,0.673469387755102,0.5868544600938967,0.5615763546798029,0.6394557823129252,0.54,0.6643835616438356
Val Precision Macro,0.06164383561643836,0.06123737373737374,0.0859277708592777,0.24302176696542893,0.08128156565656565,0.09130159746356928,0.10336239103362392,0.1632091708156617,0.060398505603985055
Val Recall Micro,0.48292682926829267,0.485,0.5974025974025974,0.5210526315789473,0.5813953488372093,0.6333333333333333,0.49473684210526314,0.5966850828729282,0.470873786407767
Val Recall Macro,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.10930246540711658,0.1316433193830892,0.13551136363636365,0.09659090909090909,0.1412992249685798,0.09090909090909091
