,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11_BN,VGG16_BN,VGG19_BN
Fold,5.0,6.0,3.0,10.0,10.0,8.0,5.0,4.0,10.0
Epoch,1.0,1.0,9.0,4.0,2.0,1.0,8.0,14.0,2.0
Train Loss,0.010122126959868933,0.01098313169269483,0.009977665059832136,0.009853110229788653,0.009479224107944327,0.009543547583577394,0.010082733987778056,0.01072957947788737,0.010141816620485656
Train Accuracy,0.05657492354740061,0.045871559633027525,0.07492354740061162,0.07938931297709924,0.07938931297709924,0.07633587786259542,0.08868501529051988,0.0581039755351682,0.0732824427480916
Train F1 Micro,0.5132569558101473,0.4143426294820717,0.47295864262990456,0.49794238683127573,0.4979367262723522,0.5116593443730989,0.4692061231755073,0.37773654916512056,0.4689028651292802
Train F1 Macro,0.06795478513752477,0.0658543605640204,0.06358259707044872,0.1354580042317777,0.12110418286963226,0.16626050994523947,0.07177641987407365,0.07054804675160915,0.07978468734155823
Train Precision Micro,0.599388379204893,0.5674603174603174,0.6177285318559557,0.6253229974160207,0.6262975778546713,0.6256198347107438,0.6258309591642925,0.5391949152542372,0.6034172661870504
Train Precision Macro,0.05448985265499028,0.07475324460333611,0.055063368658030874,0.3155532774572395,0.43251223154495355,0.5517338463746619,0.10449645783895462,0.09771584205551588,0.14625714994695305
Train Recall Micro,0.44876931883228394,0.3262977752424415,0.38316151202749144,0.41367521367521365,0.4132420091324201,0.43281875357347055,0.37528473804100226,0.2906910336950314,0.38342857142857145
Train Recall Macro,0.09090909090909091,0.06862759363269491,0.07571465361833635,0.11688303862282995,0.10895091727791532,0.14462709927512785,0.07834341191486845,0.06469633651218744,0.08509838172466319
Val Loss,0.0010505545950985349,0.001064579518821905,0.0011206561138410187,0.0010564519704781995,0.0010639514154056407,0.0010296590677481734,0.0010616538080257432,0.0011247147843139208,0.0010910534096223287
Val Accuracy,0.0958904109589041,0.0684931506849315,0.1095890410958904,0.1111111111111111,0.125,0.08333333333333333,0.0958904109589041,0.136986301369863,0.041666666666666664
Val F1 Micro,0.5491329479768786,0.5529411764705883,0.5809523809523809,0.5815217391304348,0.5810055865921787,0.6043956043956045,0.5951219512195122,0.5831325301204819,0.5875706214689265
Val F1 Macro,0.07157806351354738,0.07083446829805969,0.09656378011909027,0.12925516850750496,0.11610787104858251,0.15303030303030302,0.11565495664610709,0.09612936083524319,0.09811903971082404
Val Precision Micro,0.6506849315068494,0.6438356164383562,0.5570776255707762,0.6079545454545454,0.6380368098159509,0.6626506024096386,0.5570776255707762,0.5525114155251142,0.6624203821656051
Val Precision Macro,0.05915317559153175,0.0585305105853051,0.0759651307596513,0.14301578703678874,0.17467683831320194,0.17056277056277055,0.12066546226299266,0.07534246575342465,0.10755441741357234
Val Recall Micro,0.475,0.4845360824742268,0.6069651741293532,0.5572916666666666,0.5333333333333333,0.5555555555555556,0.6387434554973822,0.6173469387755102,0.5279187817258884
Val Recall Macro,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.1425430778371955,0.12247474747474749,0.1703369905956113,0.1477832512315271,0.13636363636363635,0.10690396559961778
